keyword,count,avg_points,parent
Santos,155,0.3480645161290323,Origin
Limited,154,0.42305194805194807,Origin
Vignobles,153,0.41045751633986927,Origin
Noirs,152,0.4516447368421053,Origin
Cooperativa,151,0.31556291390728475,Origin
François,151,0.3662251655629139,Origin
Albert,150,0.5276666666666667,Origin
Michael,149,0.39429530201342283,Origin
Miguel,149,0.44865771812080535,Origin
Blaufränkisch,148,0.5192567567567568,Origin
Especial,147,0.3982993197278911,Origin
Springs,147,0.43333333333333335,Origin
Familia,146,0.3616438356164383,Origin
David,146,0.4417808219178082,Origin
Laurent,146,0.4613013698630137,Origin
Pascal,146,0.498972602739726,Origin
Feudo,145,0.3796551724137931,Origin
Bourgogne,145,0.2824137931034483,Origin
Zweigelt,144,0.42083333333333334,Origin
Tenute,143,0.43636363636363634,Origin
FilsLes,143,0.47867132867132867,Origin
Mourvèdre,143,0.4611888111888112,Origin
Vin,142,0.4176056338028169,Origin
Canyon,142,0.43661971830985913,Origin
No.,142,0.5003521126760563,Origin
Portugal,142,0.34929577464788736,Origin
Vincent,141,0.48475177304964534,Origin
H.,141,0.4925531914893617,Origin
One,141,0.3968085106382979,Origin
Tannat,141,0.4421985815602837,Origin
Rose,140,0.40142857142857147,Origin
Nebbiolo,138,0.4311594202898551,Origin
Metodo,137,0.4543795620437956,Origin
Verdejo,137,0.3175182481751825,Origin
Estates,137,0.40693430656934304,Origin
Ribera,137,0.37992700729927004,Origin
G-S-M,136,0.4477941176470588,Origin
Valle,135,0.3622222222222222,Origin
Luigi,135,0.4462962962962963,Origin
Meritage,134,0.38731343283582087,Origin
Franc),134,0.45970149253731346,Origin
Del,133,0.38684210526315793,Origin
Saint-Estèphe,133,0.5161654135338346,Origin
Pauillac,132,0.6215909090909091,Origin
Companhia,131,0.43702290076335876,Origin
-,131,0.39961832061068703,Origin
Podere,129,0.462015503875969,Origin
Big,129,0.46511627906976744,Origin
CellarsCabernet,127,0.39960629921259844,Origin
Walla,127,0.5145669291338584,Origin
Mencía,126,0.44087301587301586,Origin
Bel,125,0.3972,Origin
GG,125,0.5748,Origin
Gary,125,0.5808,Origin
A,123,0.37723577235772354,Origin
Real,123,0.4097560975609756,Origin
Bouchard,123,0.5060975609756098,Origin
en,123,0.37398373983739835,Origin
Primitivo,123,0.3402439024390244,Origin
Reben,122,0.5577868852459016,Origin
White),122,0.4049180327868852,Origin
Selezione,121,0.5330578512396694,Origin
Winery,121,0.337603305785124,Origin
Baron,121,0.3735537190082645,Origin
Monastrell,121,0.36611570247933883,Origin
Made,121,0.3239669421487604,Origin
Latour,120,0.5408333333333334,Origin
Barton,120,0.3383333333333333,Origin
Croix,120,0.41583333333333333,Origin
Thomas,120,0.47333333333333333,Origin
Rouge,120,0.3958333333333333,Origin
Sweet,119,0.32478991596638657,Origin
Di,118,0.3906779661016949,Origin
Four,118,0.38516949152542374,Origin
dos,118,0.44449152542372883,Origin
Castillon,117,0.4008547008547008,Origin
Don,115,0.4191304347826087,Origin
Silver,115,0.36043478260869566,Origin
Agricola,114,0.41885964912280704,Origin
Sauvignon-Merlot,114,0.37017543859649127,Origin
Roche,114,0.5039473684210527,Origin
With,114,0.34649122807017546,Origin
M.,113,0.4314159292035398,Origin
Iron,113,0.5508849557522124,Origin
Rosato,112,0.33616071428571426,Origin
VineyardsCabernet,112,0.3794642857142857,Origin
Chanson,111,0.5441441441441441,Origin
Fleur,111,0.35135135135135137,Origin
with,111,0.3202702702702702,Origin
J,110,0.4527272727272727,Origin
Dopff,110,0.3831818181818182,Origin
3,109,0.344954128440367,Origin
Special,109,0.43394495412844036,Origin
V.,109,0.42752293577981654,Origin
Tradition,109,0.4036697247706422,Origin
Nobile,109,0.45642201834862384,Origin
Rosa,108,0.44074074074074077,Origin
Côte,108,0.48333333333333334,Origin
Fess,108,0.48101851851851857,Origin
Sonnenuhr,108,0.5856481481481481,Origin
Lot,107,0.3495327102803738,Origin
Duero,107,0.3897196261682243,Origin
Sherry,107,0.4948598130841122,Origin
Vermentino,106,0.3584905660377358,Origin
Alto,105,0.4066666666666667,Origin
Aglianico,105,0.4195238095238095,Origin
HillEstate,104,0.4283653846153846,Origin
Sancerre,104,0.40817307692307697,Origin
Vista,103,0.47135922330097085,Origin
4,103,0.43495145631067966,Origin
Saint-Julien,103,0.6475728155339806,Origin
Castillo,102,0.30490196078431375,Origin
Gérard,101,0.45643564356435645,Origin
Produttori,101,0.4792079207920792,Origin
Mount,101,0.38514851485148516,Origin
House,100,0.32899999999999996,Origin
Winemakers,100,0.5475,Origin
Crown,100,0.5605,Origin
Von,99,0.5262626262626263,Origin
Nicolas,99,0.47171717171717176,Origin
Cameron,99,0.37070707070707076,Origin
Markus,99,0.509090909090909,Origin
Valentin,99,0.36464646464646466,Origin
CellarsPinot,98,0.37040816326530607,Origin
VineyardsPinot,98,0.4005102040816326,Origin
von,98,0.5346938775510204,Origin
K,97,0.5695876288659794,Origin
Lake,97,0.3690721649484536,Origin
Henry,96,0.3692708333333334,Origin
Rodney,96,0.4427083333333333,Origin
Col,96,0.4614583333333333,Origin
Ripasso,96,0.36302083333333335,Origin
Weingut,96,0.46718750000000003,Origin
Grillo,96,0.35052083333333334,Origin
Escolha,95,0.46,Origin
Graves,95,0.38052631578947366,Origin
Chablis,95,0.3136842105263158,Origin
Napa,95,0.3821052631578947,Origin
Alvarinho,95,0.4557894736842105,Origin
Casas,94,0.3292553191489362,Origin
Guild,94,0.5569148936170213,Origin
Lamoreaux,94,0.3707446808510638,Origin
Casca,94,0.38085106382978723,Origin
Dominio,94,0.43936170212765957,Origin
Francis,93,0.3709677419354839,Origin
Andrew,93,0.5053763440860215,Origin
Horse,93,0.4026881720430108,Origin
King,93,0.48440860215053766,Origin
Blue,93,0.4327956989247312,Origin
Pedro,93,0.41182795698924735,Origin
Alma,93,0.439247311827957,Origin
10,93,0.44139784946236554,Origin
Au,93,0.5317204301075269,Origin
Kirkland,92,0.3065217391304348,Origin
Marco,92,0.4277173913043478,Origin
Unoaked,92,0.34945652173913044,Origin
Val,92,0.3625,Origin
Stephen,92,0.4277173913043478,Origin
in,92,0.41032608695652173,Origin
Sauvignon-Syrah,91,0.41098901098901097,Origin
Scott,91,0.43186813186813183,Origin
HughesLot,91,0.371978021978022,Origin
Wild,91,0.3659340659340659,Origin
Cuvee,91,0.378021978021978,Origin
Unfiltered,91,0.5164835164835165,Origin
Manuel,91,0.4186813186813187,Origin
Velhas,91,0.517032967032967,Origin
Fratelli,91,0.4763736263736264,Origin
Luis,91,0.4296703296703297,Origin
Rioja,90,0.34555555555555556,Origin
Badstube,90,0.518888888888889,Origin
Federspiel,90,0.5022222222222222,Origin
Vinhas,90,0.4988888888888889,Origin
Mumm,90,0.48388888888888887,Origin
Beaujolais-Villages,90,0.3338888888888889,Origin
Giuseppe,89,0.48146067415730337,Origin
São,89,0.4398876404494382,Origin
Rosado,89,0.23370786516853934,Origin
Montefalco,89,0.43595505617977526,Origin
Terroir,89,0.40505617977528086,Origin
d'Asti,89,0.3415730337078651,Origin
Bernard,89,0.44887640449438204,Origin
Fox,88,0.37329545454545454,Origin
René,88,0.48011363636363635,Origin
Novelty,88,0.4835227272727273,Origin
West,88,0.43011363636363636,Origin
2,88,0.4335227272727273,Origin
Bourg,88,0.37613636363636366,Origin
Gloria,88,0.4869318181818182,Origin
Malbec),87,0.44367816091954027,Origin
1,87,0.4695402298850575,Origin
Ancient,87,0.4086206896551724,Origin
Pouilly-Fuissé,87,0.37528735632183907,Origin
Dão,87,0.4091954022988506,Origin
Gialla,87,0.37988505747126433,Origin
Rutherford,87,0.3603448275862069,Origin
Port,86,0.4174418604651163,Origin
D'ArenbergThe,86,0.4569767441860465,Origin
Buena,86,0.40406976744186046,Origin
Santo,86,0.48604651162790696,Origin
Merry,85,0.5670588235294118,Origin
Tablas,85,0.4547058823529412,Origin
Heron,84,0.3416666666666667,Origin
Giacomo,84,0.5095238095238095,Origin
Tree,84,0.5059523809523809,Origin
Willamette,84,0.4238095238095238,Origin
Sierra,84,0.4011904761904762,Origin
Campo,83,0.4126506024096386,Origin
Keuka,83,0.3783132530120482,Origin
Frank,83,0.469277108433735,Origin
Philippe,82,0.3670731707317073,Origin
Cadillac,82,0.38414634146341464,Origin
Lucas,82,0.3335365853658537,Origin
L'Ecole,81,0.5191358024691358,Origin
Vins,81,0.4049382716049382,Origin
Vigna,81,0.48086419753086423,Origin
Ken,80,0.5625,Origin
Castle,80,0.26375000000000004,Origin
und,80,0.484375,Origin
B,80,0.51625,Origin
Sauternes,80,0.6131249999999999,Origin
Noble,80,0.406875,Origin
Blanco,79,0.2810126582278481,Origin
Pride,79,0.5411392405063291,Origin
Rancho,79,0.3677215189873418,Origin
Bon,79,0.5424050632911392,Origin
L.,79,0.31455696202531647,Origin
VineyardEstate,79,0.4183544303797468,Origin
Roussanne,79,0.4316455696202532,Origin
Alte,79,0.5575949367088608,Origin
Borgo,79,0.3841772151898734,Origin
Alain,79,0.49620253164556966,Origin
Vale,78,0.5153846153846154,Origin
Coast,78,0.4198717948717949,Origin
Marimar,78,0.5410256410256411,Origin
Dutton,78,0.5025641025641026,Origin
Pinotage,78,0.40192307692307694,Origin
Limitada,77,0.39675324675324675,Origin
DuboeufDomaine,77,0.40584415584415584,Origin
d'Or,77,0.427922077922078,Origin
Moulin,77,0.37597402597402596,Origin
Costa,77,0.3818181818181818,Origin
