type,varieties,abv,degree,sweet,acidity,body,tannin
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.75,0.25,0.25
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,0.75,0.25,0.25
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,0.75,0.75,0.0
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,1.0,0.25,0.25
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,1.0,0.5,0.0
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,1.0,0.25,0.25
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,1.0,0.25,0.25
Rotwein,Pinot Noir,0.28888888888888886,0.85,0.0,1.0,0.25,0.25
Rotwein,Grenache,0.28888888888888886,0.85,0.0,0.5,0.5,0.5
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,1.0,0.25,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,1.0,0.25,0.0
Rotwein,Pinot Noir,0.2777777777777778,0.85,0.0,1.0,0.25,0.25
Weißwein,Chardonnay,0.31777777777777777,0.6,0.0,0.5,0.5,0.0
Rotwein,Cabernet Sauvignon,0.31333333333333335,0.85,0.0,0.5,1.0,0.75
Rotwein,Merlot,0.31777777777777777,0.85,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.3066666666666667,0.925,0.0,0.5,1.0,0.75
Rotwein,Nebbiolo,0.28888888888888886,0.85,0.0,0.5,0.5,0.5
Rotwein,Barbera,0.3111111111111111,0.55,0.0,0.75,0.5,0.25
Weißwein,Moscato,0.12222222222222222,0.35,0.75,0.25,0.25,0.0
Rotwein,Nebbiolo,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Nebbiolo,0.3,0.85,0.0,0.5,0.5,0.75
Rotwein,Grenache,0.28888888888888886,0.85,0.0,0.75,0.5,0.75
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.75,0.75,0.75
Rotwein,Bordeaux Blend Red,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.5,0.25,0.75
Rotwein,Bordeaux Blend Red,0.0,0.0,0.0,0.5,0.5,0.25
